stimulus,side,figure,cube,x,y,z
23,left,M8,3,94.697,-10.623,108.564
23,left,M8,4,96.897,-14.434,108.564
23,left,M8,5,99.267,-18.538,108.564
23,left,M8,1,100.202,-7.445,114.921
23,left,M8,7,93.779,-21.706,102.228
23,left,M8,8,90.991,-23.316,99.008
23,left,M8,9,88.212,-24.921,102.217
23,left,M8,10,85.493,-26.49,105.356
23,right,M7,6,92.005,22.166,105.366
23,right,M7,2,84.185,29.957,111.714
23,right,M7,3,87.295,30.505,108.556
23,right,M7,4,88.057,26.185,108.556
23,right,M7,5,88.863,21.612,108.556
23,right,M7,1,81.079,29.409,114.868
23,right,M7,7,95.152,22.721,102.17
23,right,M7,8,98.344,23.284,98.929
23,right,M7,9,101.542,23.848,102.176
23,right,M7,10,104.68,24.401,105.362
24,left,M6,6,87.202,-11.174,109.041
24,left,M6,2,88.468,-25.016,112.218
24,left,M6,3,89.934,-24.353,107.935
24,left,M6,4,89.02,-19.944,108.305
24,left,M6,5,88.125,-15.629,108.668
24,left,M6,1,87.06,-25.653,116.334
24,left,M6,7,91.38,-10.437,110.586
24,left,M6,8,95.459,-9.718,112.093
24,left,M6,9,96.885,-9.073,107.928
24,left,M6,10,98.338,-8.416,103.683
24,right,M7,6,89.769,31.604,106.113
24,right,M7,2,98.626,31.922,115.257
24,right,M7,3,98.471,30.359,111.076
24,right,M7,4,94.32,31.731,110.717
24,right,M7,5,89.926,33.183,110.337
24,right,M7,1,98.78,33.483,119.432
24,right,M7,7,89.613,30.023,101.883
24,right,M7,8,89.454,28.418,97.592
24,right,M7,9,87.978,24.363,99.162
24,right,M7,10,86.53,20.385,100.703
25,left,M8,6,94.558,-11.553,106.521
25,left,M8,2,85.309,-14.278,114.962
25,left,M8,3,86.191,-15.537,110.741
25,left,M8,4,89.795,-13.013,110.741
25,left,M8,5,93.677,-10.295,110.741
25,left,M8,1,84.427,-13.018,119.189
25,left,M8,7,95.435,-12.805,102.321
25,left,M8,8,96.328,-14.081,98.042
25,left,M8,9,98.774,-17.574,99.594
25,left,M8,10,101.167,-20.991,101.113
25,right,M7,6,91.645,21.362,106.484
25,right,M7,2,85.046,28.249,114.92
25,right,M7,3,86.431,28.894,110.724
25,right,M7,4,88.285,24.918,110.724
25,right,M7,5,90.247,20.71,110.724
25,right,M7,1,83.664,27.604,119.112
25,right,M7,7,93.046,22.015,102.238
25,right,M7,8,94.467,22.678,97.93
25,right,M7,9,98.378,24.502,99.501
25,right,M7,10,102.216,26.291,101.042
26,left,M6,6,89.406,-24.382,109.589
26,left,M6,2,101.981,-17.975,111.619
26,left,M6,3,100.522,-17.038,107.385
26,left,M6,4,96.804,-19.495,108.122
26,left,M6,5,93.163,-21.9,108.844
26,left,M6,1,103.382,-18.876,115.687
26,left,M6,7,87.285,-20.708,111.133
26,left,M6,8,85.213,-17.12,112.64
26,left,M6,9,83.795,-16.209,108.523
26,left,M6,10,82.349,-15.28,104.326
26,right,M10,6,90.622,34.465,108.318
26,right,M10,2,98.608,26.749,117.045
26,right,M10,3,100.264,26.375,112.9
26,right,M10,4,97.079,29.047,111.386
26,right,M10,5,93.836,31.769,109.845
26,right,M10,1,96.912,27.132,121.291
26,right,M10,7,92.291,34.088,104.139
26,right,M10,8,93.964,33.711,99.952
26,right,M10,9,91.348,30.182,99.226
26,right,M10,10,88.734,26.656,98.5
27,left,M9,6,98.712,-22.383,108.077
27,left,M9,2,96.621,-9.967,114.846
27,left,M9,3,95.656,-9.4,110.392
27,left,M9,4,96.674,-13.726,109.621
27,left,M9,5,97.694,-18.057,108.848
27,left,M9,1,97.569,-10.524,119.222
27,left,M9,7,97.768,-21.829,103.722
27,left,M9,8,96.817,-21.27,99.331
27,left,M9,9,92.55,-22.413,100.11
27,left,M9,10,88.208,-23.576,100.903
27,right,M9,6,100.788,26.678,108.077
27,right,M9,2,91.206,34.845,114.846
27,right,M9,3,90.102,34.659,110.392
27,right,M9,4,93.663,32.0,109.621
27,right,M9,5,97.228,29.338,108.848
27,right,M9,1,92.29,35.028,119.222
