ID,dimension,condition,stimulus,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades
100,3,second,24,7,1.422475106685631,8,1.6256858362121496
100,3,second,25,11,3.538115149565799,5,1.608234158893545
100,3,second,26,8,1.7319766183156529,11,2.3814678501840225
100,3,second,27,4,2.6455026455026447,4,2.6455026455026447
100,3,second,28,5,1.9327406262079598,5,1.9327406262079598
100,3,second,29,10,2.064835845550271,7,1.4453850918851898
100,3,second,30,3,1.3767783386874701,6,2.7535566773749403
102,2,first,1,8,2.1875854525567346,9,2.4610336341263266
102,2,first,2,16,2.7224774544835824,13,2.2120129317679105
102,2,first,3,10,2.9429075927015926,10,2.9429075927015926
102,2,first,4,8,2.415458937198059,5,1.509661835748787
102,2,first,5,7,2.4484085344526227,6,2.0986358866736765
102,2,first,6,26,2.8153762858689726,20,2.165674066053056
102,2,first,7,21,3.0,16,2.2857142857142856
102,2,first,8,40,2.314814814814815,23,1.3310185185185184
102,2,first,9,12,2.736602052451545,10,2.2805017103762877
102,2,first,10,8,2.762430939226505,6,2.0718232044198786
102,2,first,11,13,2.9312288613303252,11,2.4802705749718137
102,2,first,12,10,3.0229746070133077,6,1.8137847642079847
102,2,first,13,15,2.6431718061673957,10,1.7621145374449303
102,2,first,14,9,2.7380590203833233,6,1.8253726802555488
102,2,first,15,15,2.2512381809995508,11,1.6509079993996707
102,2,first,16,22,2.1857923497267766,27,2.6825633383010437
102,2,first,17,23,2.9808190772420913,14,1.8144116122343164
102,2,first,18,9,2.8230865746549667,8,2.5094102885821923
102,2,first,19,15,2.742731760833765,11,2.0113366246114275
102,2,first,20,7,2.5279884434813966,7,2.5279884434813966
102,2,first,21,27,2.868678283042922,21,2.231194220144495
102,2,first,22,22,2.7147087857848025,18,2.2211253701875657
102,2,first,23,14,2.8530670470756,13,2.649276543713057
102,2,first,24,20,2.8141269171239625,14,1.9698888419867737
102,2,first,25,9,2.989040185984699,6,1.9926934573231325
102,2,first,26,23,2.736792003807712,17,2.022846263683961
102,2,first,27,7,3.044802087864318,6,2.609830361026558
102,2,first,28,20,2.7720027720027596,13,1.8018018018017938
102,2,first,29,14,3.0891438658428974,11,2.4271844660194195
102,2,first,30,9,2.7297543221110123,8,2.4264482863209
102,3,second,1,10,2.778549597110305,8,2.222839677688244
102,3,second,2,5,2.9994001199760274,5,2.9994001199760274
102,3,second,3,7,3.4825870646766326,5,2.4875621890547377
102,3,second,4,7,3.6213140196585756,4,2.0693222969477576
102,3,second,5,6,3.4110289937464744,4,2.2740193291643163
102,3,second,6,11,2.7672955974842814,9,2.2641509433962304
102,3,second,7,12,1.9788918205804749,12,1.9788918205804749
102,3,second,8,14,3.0244113199395177,11,2.3763231799524784
102,3,second,9,12,2.9361389772449207,7,1.7127477367262036
102,3,second,10,8,3.3984706881903155,7,2.973661852166526
102,3,second,11,7,3.4263338228096067,5,2.447381302006862
102,3,second,12,4,1.9464720194647138,6,2.9197080291970705
102,3,second,13,5,3.3852403520649874,4,2.7081922816519897
102,3,second,14,8,2.7201632097925854,9,3.0601836110166585
102,3,second,15,6,2.7088036117381447,5,2.2573363431151208
102,3,second,16,9,3.141361256544508,8,2.7923211169284516
102,3,second,17,10,3.0211480362537744,8,2.4169184290030197
102,3,second,18,4,3.1746031746031975,3,2.3809523809523983
102,3,second,19,6,2.381897578404137,5,1.9849146486701141
102,3,second,20,6,4.21940928270041,3,2.109704641350205
102,3,second,21,15,2.505428428261229,9,1.5032570569567374
102,3,second,22,10,3.107520198881303,7,2.175264139216912
102,3,second,23,14,3.522012578616351,10,2.5157232704402506
102,3,second,24,23,3.53302611367128,16,2.457757296466977
102,3,second,25,8,3.0418250950570065,7,2.6615969581748806
102,3,second,26,5,1.9083969465648924,5,1.9083969465648924
102,3,second,27,6,2.9354207436399262,6,2.9354207436399262
102,3,second,28,10,3.5587188612099614,6,2.135231316725977
102,3,second,29,6,3.649635036496338,4,2.433090024330892
102,3,second,30,8,3.1859816806053414,7,2.7877339705296738
103,2,second,1,16,2.9455081001472743,10,1.8409425625920464
103,2,second,2,27,2.45053548738428,17,1.5429297513160283
103,2,second,3,9,2.3709167544783933,7,1.844046364594306
103,2,second,4,25,3.121098626716608,13,1.622971285892636
103,2,second,5,30,2.761413843888077,15,1.3807069219440384
103,2,second,6,39,2.527216174183512,20,1.296008294453083
103,2,second,7,21,2.653525398028814,8,1.0108668182966911
103,2,second,8,26,2.5984409354387368,15,1.4991005396761943
103,2,second,9,20,2.8388928317956044,12,1.7033356990773627
103,2,second,10,14,2.672265699560997,11,2.099637335369355
103,2,second,11,18,2.5802752293577984,16,2.2935779816513766
103,2,second,12,31,2.171324507949843,19,1.3308117951950649
103,2,second,13,11,3.33839150227616,7,2.12443095599392
103,2,second,14,8,3.8461538461538756,4,1.9230769230769378
103,2,second,15,16,3.0923850019327452,7,1.3529184383455761
103,2,second,16,14,2.8005601120224073,9,1.8003600720144046
103,2,second,17,22,2.7697343572957376,13,1.6366612111292995
103,2,second,18,26,2.343609158103481,11,0.9915269515053187
103,2,second,19,30,2.481800132362669,14,1.158173395102579
103,2,second,20,33,2.447526514870577,16,1.1866795223614919
103,2,second,21,24,2.7832540879044445,16,1.85550272526963
103,2,second,22,27,2.3860021208907707,12,1.0604453870625647
